2023-03-16 19:55:07.876035 [INFO   ] [APP] application started
2023-03-16 19:55:13.094556 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 147600; ask volumes: 121; bid prices: 0; bid volumes: 0
2023-03-16 19:55:13.295936 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-16 19:55:13.295966 [DEBUG  ] [CON] 'Info' received message with type=11 and size=88
2023-03-16 19:55:13.295977 [INFO   ] [AUTO] trade ticks received for Future instrument: ask prices: 147100; ask volumes: 10; bid prices: 0; bid volumes: 0
2023-03-16 19:55:13.337119 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-16 19:55:13.337155 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-16 19:55:13.337169 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147300; ask volumes: 6000; bid prices: 147000; bid volumes: 6000
2023-03-16 19:55:13.337245 [DEBUG  ] [CON] 'Exec' sent 17 bytes
2023-03-16 19:55:13.337258 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-16 19:55:13.337265 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-16 19:55:13.337270 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147600; ask volumes: 10000; bid prices: 146400; bid volumes: 10000
2023-03-16 19:55:13.343985 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-16 19:55:13.344014 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-16 19:55:13.542543 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-16 19:55:13.542580 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-16 19:55:13.542656 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147200; ask volumes: 1000; bid prices: 147000; bid volumes: 7740
2023-03-16 19:55:13.542759 [DEBUG  ] [CON] 'Exec' sent 17 bytes
2023-03-16 19:55:13.542779 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-16 19:55:13.542786 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-16 19:55:13.542792 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147000; ask volumes: 1; bid prices: 146600; bid volumes: 10000
2023-03-16 19:55:13.543477 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-16 19:55:13.543496 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-16 19:55:13.796060 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-16 19:55:13.796105 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-16 19:55:13.796118 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147100; ask volumes: 9400; bid prices: 147000; bid volumes: 900
2023-03-16 19:55:13.796211 [DEBUG  ] [CON] 'Exec' sent 17 bytes
2023-03-16 19:55:13.796226 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-16 19:55:13.796232 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-16 19:55:13.796239 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147000; ask volumes: 1; bid prices: 146500; bid volumes: 10000
2023-03-16 19:55:13.797896 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-16 19:55:13.797928 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-16 19:55:14.093731 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-16 19:55:14.093765 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-16 19:55:14.093776 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147100; ask volumes: 20; bid prices: 147000; bid volumes: 5640
2023-03-16 19:55:14.093863 [DEBUG  ] [CON] 'Exec' sent 17 bytes
2023-03-16 19:55:14.093876 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-16 19:55:14.093882 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-16 19:55:14.093903 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147000; ask volumes: 1; bid prices: 146400; bid volumes: 10000
2023-03-16 19:55:14.094123 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-16 19:55:14.094132 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-16 19:55:14.273492 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-16 19:55:14.273542 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-16 19:55:14.273562 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147100; ask volumes: 9420; bid prices: 147000; bid volumes: 900
2023-03-16 19:55:14.273653 [DEBUG  ] [CON] 'Exec' sent 17 bytes
2023-03-16 19:55:14.273667 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-16 19:55:14.273673 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-16 19:55:14.273679 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147000; ask volumes: 1; bid prices: 146400; bid volumes: 10000
2023-03-16 19:55:14.274339 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-16 19:55:14.274357 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-16 19:55:14.301517 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-16 19:55:14.301553 [DEBUG  ] [CON] 'Info' received message with type=11 and size=88
2023-03-16 19:55:14.301608 [INFO   ] [AUTO] trade ticks received for Future instrument: ask prices: 0; ask volumes: 0; bid prices: 147000; bid volumes: 900
2023-03-16 19:55:14.443978 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-16 19:55:14.444009 [DEBUG  ] [CON] 'Info' received message with type=11 and size=88
2023-03-16 19:55:14.444023 [INFO   ] [AUTO] trade ticks received for Future instrument: ask prices: 0; ask volumes: 0; bid prices: 146900; bid volumes: 500
2023-03-16 19:55:14.543741 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-16 19:55:14.543776 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-16 19:55:14.543787 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147100; ask volumes: 13400; bid prices: 146900; bid volumes: 4000
2023-03-16 19:55:14.543887 [DEBUG  ] [CON] 'Exec' sent 17 bytes
2023-03-16 19:55:14.543903 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-16 19:55:14.543909 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-16 19:55:14.543916 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147000; ask volumes: 1; bid prices: 146400; bid volumes: 10000
2023-03-16 19:55:14.544227 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-16 19:55:14.544244 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-16 19:55:14.790632 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-16 19:55:14.790661 [DEBUG  ] [CON] 'Info' received message with type=11 and size=88
2023-03-16 19:55:14.790673 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 0; ask volumes: 0; bid prices: 146400; bid volumes: 71
2023-03-16 19:55:14.792742 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-16 19:55:14.792752 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-16 19:55:14.792760 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147000; ask volumes: 11400; bid prices: 146800; bid volumes: 2000
2023-03-16 19:55:14.792817 [DEBUG  ] [CON] 'Exec' sent 17 bytes
2023-03-16 19:55:14.792830 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-16 19:55:14.792838 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-16 19:55:14.792846 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147000; ask volumes: 1; bid prices: 146400; bid volumes: 9929
2023-03-16 19:55:14.792983 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-16 19:55:14.793000 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-16 19:55:15.040267 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-16 19:55:15.040299 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-16 19:55:15.040311 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147000; ask volumes: 11400; bid prices: 146700; bid volumes: 1000
2023-03-16 19:55:15.040369 [DEBUG  ] [CON] 'Exec' sent 17 bytes
2023-03-16 19:55:15.040380 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-16 19:55:15.040395 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-16 19:55:15.040403 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147000; ask volumes: 1; bid prices: 146200; bid volumes: 10000
2023-03-16 19:55:15.040657 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-16 19:55:15.040673 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-16 19:55:15.294159 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-16 19:55:15.294194 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-16 19:55:15.294205 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147000; ask volumes: 11400; bid prices: 146700; bid volumes: 1000
2023-03-16 19:55:15.294282 [DEBUG  ] [CON] 'Exec' sent 17 bytes
2023-03-16 19:55:15.294295 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-16 19:55:15.294303 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-16 19:55:15.294309 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147000; ask volumes: 1; bid prices: 146200; bid volumes: 10000
2023-03-16 19:55:15.294473 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-16 19:55:15.294487 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-16 19:55:15.596467 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-16 19:55:15.596497 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-16 19:55:15.596508 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147000; ask volumes: 1000; bid prices: 146900; bid volumes: 5000
2023-03-16 19:55:15.596578 [DEBUG  ] [CON] 'Exec' sent 17 bytes
2023-03-16 19:55:15.596595 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-16 19:55:15.596601 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-16 19:55:15.596608 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147000; ask volumes: 1; bid prices: 146300; bid volumes: 10000
2023-03-16 19:55:15.597251 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-16 19:55:15.597269 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-16 19:55:15.700914 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-16 19:55:15.700952 [DEBUG  ] [CON] 'Info' received message with type=11 and size=88
2023-03-16 19:55:15.700963 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 147000; ask volumes: 1; bid prices: 0; bid volumes: 0
2023-03-16 19:55:15.847758 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-16 19:55:15.847792 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-16 19:55:15.847803 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147000; ask volumes: 9000; bid prices: 146800; bid volumes: 13000
2023-03-16 19:55:15.847874 [DEBUG  ] [CON] 'Exec' sent 17 bytes
2023-03-16 19:55:15.847888 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-16 19:55:15.847897 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-16 19:55:15.847902 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147500; ask volumes: 10000; bid prices: 146300; bid volumes: 10000
2023-03-16 19:55:15.849608 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-16 19:55:15.849628 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-16 19:55:15.952756 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-16 19:55:15.952795 [DEBUG  ] [CON] 'Info' received message with type=11 and size=88
2023-03-16 19:55:15.952806 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 0; ask volumes: 0; bid prices: 146300; bid volumes: 17
2023-03-16 19:55:16.050733 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-16 19:55:16.050777 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-16 19:55:16.050788 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147000; ask volumes: 1000; bid prices: 146800; bid volumes: 13000
2023-03-16 19:55:16.050851 [DEBUG  ] [CON] 'Exec' sent 17 bytes
2023-03-16 19:55:16.050868 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-16 19:55:16.050873 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-16 19:55:16.050880 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147500; ask volumes: 10000; bid prices: 146300; bid volumes: 99832023-03-16 20:01:12.284941 [INFO   ] [APP] application started
2023-03-16 20:01:12.284979 [INFO   ] [APP] loading configuration from 'autotrader.json'
2023-03-16 20:01:12.285196 [INFO   ] [CON] connecting to: 127.0.0.1:12345
2023-03-16 20:01:12.285312 [INFO   ] [CON] connected successfully to: 127.0.0.1:12345
2023-03-16 20:01:12.285363 [INFO   ] [BASE] logging in with teamname='TraderOne' and secret='secret'
2023-03-16 20:01:12.285489 [DEBUG  ] [CON] 'Exec' sent 103 bytes
2023-03-16 20:01:16.717480 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-16 20:01:16.717510 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-16 20:01:16.717549 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147100; ask volumes: 1000; bid prices: 146900; bid volumes: 13000
2023-03-16 20:01:16.717565 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-16 20:01:16.717573 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-16 20:01:16.717581 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 0; ask volumes: 0; bid prices: 0; bid volumes: 0
2023-03-16 20:01:16.966803 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-16 20:01:16.966844 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-16 20:01:16.966857 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147100; ask volumes: 9400; bid prices: 146900; bid volumes: 13000
2023-03-16 20:01:16.966868 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-16 20:01:16.966873 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-16 20:01:16.966882 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147600; ask volumes: 10000; bid prices: 146400; bid volumes: 10000
2023-03-16 20:01:17.191773 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-16 20:01:17.191818 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-16 20:01:17.191830 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147100; ask volumes: 10400; bid prices: 146300; bid volumes: 1000
2023-03-16 20:01:17.191842 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-16 20:01:17.191847 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-16 20:01:17.191862 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147600; ask volumes: 10000; bid prices: 146400; bid volumes: 10000
2023-03-16 20:01:17.426985 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-16 20:01:17.427024 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-16 20:01:17.427036 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147100; ask volumes: 9410; bid prices: 146900; bid volumes: 4450
2023-03-16 20:01:17.427047 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-16 20:01:17.427053 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-16 20:01:17.427059 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147600; ask volumes: 10000; bid prices: 146400; bid volumes: 10000
2023-03-16 20:01:17.512527 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-16 20:01:17.512562 [DEBUG  ] [CON] 'Info' received message with type=11 and size=88
2023-03-16 20:01:17.512575 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 147600; ask volumes: 121; bid prices: 0; bid volumes: 0
2023-03-16 20:01:17.715683 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-16 20:01:17.715713 [DEBUG  ] [CON] 'Info' received message with type=11 and size=88
2023-03-16 20:01:17.715724 [INFO   ] [AUTO] trade ticks received for Future instrument: ask prices: 147100; ask volumes: 10; bid prices: 0; bid volumes: 0
2023-03-16 20:01:17.761867 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-16 20:01:17.761890 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-16 20:01:17.761900 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147300; ask volumes: 4400; bid prices: 147100; bid volumes: 4000
2023-03-16 20:01:17.762019 [DEBUG  ] [CON] 'Exec' sent 16 bytes
2023-03-16 20:01:17.762050 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-16 20:01:17.762060 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-16 20:01:17.762066 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147600; ask volumes: 10000; bid prices: 146400; bid volumes: 10000
2023-03-16 20:01:17.762077 [DEBUG  ] [CON] 'Exec' sent 17 bytes
2023-03-16 20:01:17.769424 [DEBUG  ] [CON] 'Exec' received 57 bytes
2023-03-16 20:01:17.769450 [DEBUG  ] [CON] 'Exec' received message with type=3 and size=57
2023-03-16 20:01:17.769830 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-16 20:01:17.769850 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-16 20:01:17.939220 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-16 20:01:17.939261 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-16 20:01:17.939274 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147200; ask volumes: 1000; bid prices: 147000; bid volumes: 7740
2023-03-16 20:01:17.939372 [DEBUG  ] [CON] 'Exec' sent 17 bytes
2023-03-16 20:01:17.939387 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-16 20:01:17.939394 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-16 20:01:17.939401 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147000; ask volumes: 1; bid prices: 146600; bid volumes: 10000
2023-03-16 20:01:17.939761 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-16 20:01:17.939775 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-16 20:01:18.243063 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-16 20:01:18.243102 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-16 20:01:18.243117 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147100; ask volumes: 20; bid prices: 147000; bid volumes: 2900
2023-03-16 20:01:18.243227 [DEBUG  ] [CON] 'Exec' sent 17 bytes
2023-03-16 20:01:18.243241 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-16 20:01:18.243246 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-16 20:01:18.243253 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147000; ask volumes: 1; bid prices: 146500; bid volumes: 10000
2023-03-16 20:01:18.244311 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-16 20:01:18.244333 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-16 20:01:18.443964 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-16 20:01:18.443999 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-16 20:01:18.444010 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147100; ask volumes: 20; bid prices: 147000; bid volumes: 3900
2023-03-16 20:01:18.444104 [DEBUG  ] [CON] 'Exec' sent 17 bytes
2023-03-16 20:01:18.444119 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-16 20:01:18.444125 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-16 20:01:18.444131 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147000; ask volumes: 1; bid prices: 146400; bid volumes: 10000
2023-03-16 20:01:18.445459 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-16 20:01:18.445481 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-16 20:01:18.706214 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-16 20:01:18.706260 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-16 20:01:18.706275 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147100; ask volumes: 9420; bid prices: 147000; bid volumes: 900
2023-03-16 20:01:18.706359 [DEBUG  ] [CON] 'Exec' sent 17 bytes
2023-03-16 20:01:18.706375 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-16 20:01:18.706380 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-16 20:01:18.706386 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147000; ask volumes: 1; bid prices: 146400; bid volumes: 10000
2023-03-16 20:01:18.707226 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-16 20:01:18.707248 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-16 20:01:18.724299 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-16 20:01:18.724333 [DEBUG  ] [CON] 'Info' received message with type=11 and size=88
2023-03-16 20:01:18.724345 [INFO   ] [AUTO] trade ticks received for Future instrument: ask prices: 0; ask volumes: 0; bid prices: 147000; bid volumes: 900
2023-03-16 20:01:18.855578 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-16 20:01:18.855620 [DEBUG  ] [CON] 'Info' received message with type=11 and size=88
2023-03-16 20:01:18.855630 [INFO   ] [AUTO] trade ticks received for Future instrument: ask prices: 0; ask volumes: 0; bid prices: 146900; bid volumes: 500
2023-03-16 20:01:18.998580 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-16 20:01:18.998613 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-16 20:01:18.998622 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147100; ask volumes: 13400; bid prices: 146900; bid volumes: 4000
2023-03-16 20:01:18.998710 [DEBUG  ] [CON] 'Exec' sent 17 bytes
2023-03-16 20:01:18.998721 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-16 20:01:18.998724 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-16 20:01:18.998729 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147000; ask volumes: 1; bid prices: 146400; bid volumes: 10000
